id,key,filename,content_type,metadata,byte_size,checksum,created_at
513,FYRviZp5hPAkVJZhRGP8Q8j2,DSC01750.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",6411343,eiMLRzvRWSB2KdvaTvwZyw==,2018-03-08 22:23:04.861223
517,7BzqJygSL1cbMmYW6aa7o6pR,20170201_133843.jpg,image/jpeg,"{""identified"":true,""width"":2048,""height"":1232,""analyzed"":true}",830253,Nydqhma2qLL0idEwIfrROA==,2018-03-08 22:23:57.876686
526,uuXYS55jFuwNw6RjxoPz4nwy,DSC00122.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",7309955,ldnOgSBf68u34TPeAzWbHw==,2018-03-08 22:26:37.113415
579,we5uHh6Bq4UiG6PXy31U56cj,DSC02659.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2450800,50E1Y5eGDW0kHZ590Qmhlw==,2018-03-08 22:37:23.319372
580,c4hmhn4rBip9KBzxUv2ffqGk,DSC02660.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2463525,/5gd+5jTgjVm3q5ZQKbSPg==,2018-03-08 22:37:23.335951
581,rcbubekQP6vmCijQnhtfhYf9,DSC02661.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2417530,4+y+iPB/xvqlRDHwSzxEjg==,2018-03-08 22:37:23.351891
582,ossZmKuKUoxvoEce6YEiTdVD,DSC02662.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2425285,Gc+vVhQRUhSDHLe0YHPU9g==,2018-03-08 22:37:23.367554
583,eyjEWGGx6MXjJ8xJoKZnENoJ,DSC02663.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2392981,6BlUuF2k1smdPHMrMd76hw==,2018-03-08 22:37:23.38325
584,gka5A8HzvPYGztZsGWoZEm5P,DSC02664.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2270713,xu4I4gza+6bV2fpkX1debA==,2018-03-08 22:37:23.398182
590,P8kehdyMDjfFsyycSgwLk11N,DSC01464.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2532936,7kzuEKxmk2Czih4vftsZ9w==,2018-03-08 22:38:31.20354
596,toUStcHdbWqcudRF5oV21nHa,DSC01502.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2445788,jEAv/gY2oQJ0c0HieC7Stw==,2018-03-08 22:40:19.375616
613,XkCx6dUssaKUf7Nzn6Dx9ZYy,DSC00655.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",6535133,AL9on/SSsmkU2gpK2JZ4kQ==,2018-03-08 22:46:15.9954
615,9QMMCy2JB1RPiCNQXBvpAivM,DSC00657.JPG,image/jpeg,"{""identified"":true,""width"":5152,""height"":3864,""analyzed"":true}",6757554,VmfTt9XB8T48ptAVxEGqQw==,2018-03-08 22:46:48.524118
